0	0	1
1	0	0
0	1	0
0	0	0.17241
1	0.10345	0.72414
1	0.82759	0
0	0.34483	0
0.51724	0.51724	1
0.62069	0.31034	0.27586
0	1	0.75862
0	0.51724	0.58621
0	0	0.48276
0.58621	0.82759	0.31034
0.96552	0.62069	0.86207
0.82759	0.068966	1
0.48276	0.10345	0.41379
0.96552	0.068966	0.37931
1	0.75862	0.51724
0.13793	0.13793	0.034483
0.55172	0.65517	0.48276
0.96552	0.51724	0.034483
0.51724	0.44828	0
0.44828	0.96552	1
0.62069	0.75862	1
0.44828	0.37931	0.48276
0.62069	0	0
0	0.31034	1
0	0.27586	0.58621
0.82759	1	0
0.72414	0.31034	0.82759
0.24138	0	0.10345
0.93103	1	0.68966
1	0.48276	0.37931
0.27586	1	0.48276
0.068966	0.65517	0.37931
0.82759	0.65517	0.65517
0.82759	0.31034	0.51724
0.41379	0	0.75862
0.17241	0.37931	0.27586
0	0.58621	0.96552
0.034483	0.24138	0.31034
0.65517	0.34483	0.034483
0.44828	0.37931	0.24138
0.034483	0.58621	0
0.62069	0.41379	0.72414
1	1	0.44828
0.65517	0.96552	0.7931
0.58621	0.68966	0.72414
0.68966	0.68966	0.034483
0.17241	0	0.31034
0	0.7931	1
0.31034	0.13793	0
0	0.72414	0.65517
0.62069	0	0.2069
0.31034	0.48276	0.68966
0.10345	0.27586	0.75862
0.34483	0.82759	0
0.44828	0.58621	0.2069
0.89655	0.65517	0.2069
0.96552	0.55172	0.58621
0.41379	0.068966	0.55172
0.89655	0.37931	0.75862
0.93103	0.82759	1
0.62069	1	0.62069
1	0.31034	0.96552
0.58621	0.37931	1
0.75862	0.72414	0.37931
0.93103	0.17241	0.2069
0.68966	0.41379	0.51724
0.27586	0.17241	0.34483
0.72414	0.51724	0.34483
0.55172	0.034483	1
0.27586	0.31034	0
0.86207	0.82759	0.68966
0.89655	0.58621	1
0	0	0.034483
0.37931	0.24138	0.24138
0.93103	0	0.51724
0.68966	0	0.58621
0.41379	0	0
0.72414	0.65517	1
0.65517	0.58621	0.75862
0.51724	0.17241	0.31034
0.44828	0.48276	0.44828
0.86207	0.27586	0
0.034483	0.2069	0
0.58621	0.7931	0.48276
0	0.068966	0.82759
0.72414	0.93103	1
0.34483	0.24138	0.58621
0.27586	0.51724	0.27586
0.68966	1	0.31034
0.27586	0.7931	0.34483
0.89655	0.34483	0.41379
0.93103	0.55172	0.27586
0.48276	0.31034	0.068966
0.37931	0.44828	0.7931
0	1	0.93103
0.31034	0.58621	0.51724
0.72414	0	0.7931
1	0.86207	0.44828
0.068966	0.13793	0.72414
0.65517	0	0.41379
0.62069	0.44828	0.41379
0.10345	0.72414	0.7931
0	0.17241	0.13793
0.58621	0.55172	0.31034
0.68966	0.82759	0.034483
0.72414	0.27586	0.2069
0	0.44828	1
1	0.96552	0
0.37931	0.65517	0.7931
0.34483	0.82759	0.62069
0.44828	0.27586	0.75862
0.55172	0.7931	0.72414
0.068966	0.2069	0.37931
0.51724	1	0
0.27586	0.41379	0.48276
0	0.13793	0.51724
0.27586	0	0.24138
0.68966	0.31034	0.58621
0.75862	0.31034	1
0.82759	1	0.55172
0.034483	0.10345	0.34483
0.24138	0.27586	0.24138
0.37931	0.34483	0.58621
0.96552	0.65517	0.55172
0.96552	0.48276	1
0.89655	1	0.86207
1	0.68966	0.7931
0.48276	0.27586	0.44828
